season,round,driver,rating_mu
1954,2,darter,1667.84
1954,2,davies,1557.81
1954,2,davies,1557.81
1954,2,daywalt,1335.69
1954,2,daywalt,1335.69
1954,2,duncan,1208.96
1954,2,elisian,1516.57
1954,2,faulkner,1627.65
1954,2,flaherty,1244.37
1954,2,fonder,1244.59
1954,2,fonder,1244.59
1954,2,freeland,1679.19
1954,2,hanks,1551.37
1954,2,hanks,1551.37
1954,2,hartley,1344.74
1954,2,homeier,1165.76
1954,2,hoyt,1365.93
1954,2,hoyt,1365.93
1954,2,jackson,1515.96
1954,2,johnson,1458.63
1954,2,kladis,1223.75
1954,2,linden,1396.49
1954,2,linden,1396.49
1954,2,linden,1396.49
1954,2,mccoy,1583.64
1954,2,mcgrath,1913.55
1954,2,nazaruk,1753.89
1954,2,niday,1617.75
1954,2,parsons,1231.96
1954,2,parsons,1231.96
1954,2,paul_russo,1690.64
1954,2,rathmann,1343.99
1954,2,rathmann,1343.99
1954,2,reece,1565.35
1954,2,ruttman,1860.24
1954,2,stevenson,1583.32
1954,2,sweikert,1563.26
1954,2,teague,1470.16
1954,2,teague,1470.16
1954,2,thomson,1279.26
1954,2,vukovich,1926.38
1954,2,ward,1425.08
1954,2,webb,1212.53
1954,3,andre_pilette,1618.15
1954,3,behra,1478.93
1954,3,bira,1639.75
1954,3,fangio,1983.73
1954,3,farina,1921.77
1954,3,frere,1418.21
1954,3,gonzalez,1722.81
1954,3,gonzalez,1722.81
1954,3,hawthorn,1837.4
1954,3,mantovani,1641.95
1954,3,marimon,1462.36
1954,3,mieres,1440.29
1954,3,moss,1724.8
1954,3,swaters,1438.02
1954,3,trintignant,1791.12
1954,4,ascari,1473.94
1954,4,behra,1605.66
1954,4,bira,1731.51
1954,4,fangio,2023.36
1954,4,frere,1552.89
1954,4,georges_berger,1347.29
1954,4,gonzalez,1582.03
1954,4,hawthorn,1598.31
1954,4,herrmann,1575.57
1954,4,kling,1678.92
1954,4,macklin,1247.24
1954,4,mantovani,1435.47
1954,4,manzon,1683.36
1954,4,marimon,1531.21
1954,4,mieres,1501.19
1954,4,pollet,1386.58
1954,4,rosier,1524.12
1954,4,salvadori,1307.72
1954,4,schell,1562.92
1954,4,trintignant,1761.58
1954,4,villoresi,1843.57
1954,4,wharton,1509.83
1954,5,alan_brown,1345.95
1954,5,andre_pilette,1718.0
1954,5,ascari,1451.51
1954,5,ascari,1451.51
1954,5,beauman,1641.75
1954,5,behra,1584.91
1954,5,bira,1589.49
1954,5,brandon,1354.57
1954,5,bucci,1409.75
1954,5,collins,1390.08
1954,5,fangio,2017.31
1954,5,flockhart,1510.26
1954,5,gerard,1703.49
1954,5,gonzalez,1805.45
1954,5,gould,1584.07
1954,5,hawthorn,1799.7
1954,5,kling,1772.43
1954,5,manzon,1452.75
1954,5,marimon,1756.39
1954,5,marr,1613.42
1954,5,mieres,1708.78
1954,5,moss,1662.41
1954,5,nuckey,1353.59
1954,5,reg_parnell,1495.09
1954,5,riseley_prichard,1456.13
1954,5,rosier,1342.51
1954,5,salvadori,1439.64
1954,5,schell,1653.48
1954,5,thorne,1598.79
1954,5,trintignant,1840.5
1954,5,villoresi,1624.22
1954,5,wharton,1686.17
1954,5,whitehead,1413.06
1954,5,whitehouse,1556.58
1954,6,andre_pilette,1553.36
1954,6,behra,1643.09
1954,6,bira,1629.51
1954,6,bucci,1494.06
1954,6,fangio,2068.11
1954,6,frere,1526.18
1954,6,gonzalez,1895.06
1954,6,hawthorn,1706.86
1954,6,hawthorn,1706.86
1954,6,helfrich,1549.82
1954,6,herrmann,1555.36
1954,6,kling,1845.43
1954,6,lang,1641.92
1954,6,mantovani,1639.72
1954,6,manzon,1585.52
1954,6,marimon,1557.98
1954,6,mieres,1580.32
1954,6,moss,1539.8
1954,6,rosier,1536.76
1954,6,schell,1731.42
1954,6,taruffi,1837.12
1954,6,trintignant,1901.49
1954,6,villoresi,1471.74
1954,6,wharton,1488.46
1954,7,behra,1546.44
1954,7,bucci,1429.54
1954,7,fangio,2097.76
1954,7,gonzalez,1942.79
1954,7,hawthorn,1656.54
1954,7,herrmann,1690.68
1954,7,kling,1781.44
1954,7,maglioli,1663.31
1954,7,mantovani,1712.64
1954,7,manzon,1473.09
1954,7,mieres,1690.23
1954,7,moss,1514.07
1954,7,schell,1655.92
1954,7,swaters,1526.59
1954,7,trintignant,1804.47
